Fuel_Mdot,Tair,Treturn,Tsupply,Water_Mdot,Condition,Class
1,283,333,363.574744,3,%=0.05,Lean
1,283,333,362.3495168,3,%=0.1,Nominal
1,283,333,361.216941,3,%=0.15,ExcessAir
1,283,333,360.1668904,3,%=0.20,ExcessAir
1,283,333,359.1906622,3,%=0.25,ExcessAir
1,283,333,358.280736,3,%=0.3,ExcessAir
1,283,333,357.4305788,3,%=0.35,ExcessAir
1,283,333,356.6344892,3,%=0.40,ExcessAir
1,283,333,355.8874682,3,%=0.45,ExcessAir
1,283,333,355.1851147,3,%=0.50,ExcessAir
1,283,333,359.2389633,3.5,%=0.05,Lean
1,283,333,358.1878011,3.5,%=0.1,Nominal
1,283,333,357.2161268,3.5,%=0.15,ExcessAir
1,283,333,356.3152528,3.5,%=0.20,ExcessAir
1,283,333,355.4777127,3.5,%=0.25,ExcessAir
1,283,333,354.6970545,3.5,%=0.3,ExcessAir
1,283,333,353.9676739,3.5,%=0.35,ExcessAir
1,283,333,353.2846792,3.5,%=0.40,ExcessAir
1,283,333,352.6427985,3.5,%=0.45,ExcessAir
1,283,333,352.0390748,3.5,%=0.50,ExcessAir
1,283,333,355.9818197,4,%=0.05,Lean
1,283,333,355.0614156,4,%=0.1,Nominal
1,283,333,354.210611,4,%=0.15,ExcessAir
1,283,333,353.4217989,4,%=0.20,ExcessAir
1,283,333,352.6875436,4,%=0.25,ExcessAir
1,283,333,352.0026901,4,%=0.3,ExcessAir
1,283,333,351.3628207,4,%=0.35,ExcessAir
1,283,333,350.7636442,4,%=0.40,ExcessAir
1,283,333,350.2013983,4,%=0.45,ExcessAir
1,283,333,349.6727707,4,%=0.50,ExcessAir
1,283,333,353.4453295,4.5,%=0.05,Lean
1,283,333,352.6257345,4.5,%=0.1,Nominal
1,283,333,351.8676126,4.5,%=0.15,ExcessAir
1,283,333,351.1647296,4.5,%=0.20,ExcessAir
1,283,333,350.5112603,4.5,%=0.25,ExcessAir
1,283,333,349.902171,4.5,%=0.3,ExcessAir
1,283,333,349.333089,4.5,%=0.35,ExcessAir
1,283,333,348.8001979,4.5,%=0.40,ExcessAir
1,283,333,348.3001518,4.5,%=0.45,ExcessAir
1,283,333,347.8300048,4.5,%=0.50,ExcessAir
1,283,333.0000001,351.4108157,5,%=0.05,Lean
1,283,333.0000001,350.6723705,5,%=0.1,Nominal
1,283,333.0000001,349.9897645,5,%=0.15,ExcessAir
1,283,333.0000001,349.3568948,5,%=0.20,ExcessAir
1,283,333.0000001,348.7685168,5,%=0.25,ExcessAir
1,283,333.0000001,348.2200978,5,%=0.3,ExcessAir
1,283,333.0000001,347.707701,5,%=0.35,ExcessAir
1,283,333.0000001,347.2278901,5,%=0.40,ExcessAir
1,283,333.0000001,346.7776525,5,%=0.45,ExcessAir
1,283,333.0000001,346.3543356,5,%=0.50,ExcessAir
1,283,333.0000001,349.7444261,5.5,%=0.05,Lean
1,283,333.0000001,349.0728818,5.5,%=0.1,Nominal
1,283,333.0000001,348.452117,5.5,%=0.15,ExcessAir
1,283,333.0000001,347.8765782,5.5,%=0.20,ExcessAir
1,283,333.0000001,347.3414985,5.5,%=0.25,ExcessAir
1,283,333.0000001,346.8427582,5.5,%=0.3,ExcessAir
1,283,333.0000001,346.3767768,5.5,%=0.35,ExcessAir
1,283,333.0000001,345.9404294,5.5,%=0.40,ExcessAir
1,283,333.0000001,345.5309763,5.5,%=0.45,ExcessAir
