peak2peak,peak,mean,Std,RMS,skewness,kurtosis,CrestFactor,ShapeFactor,faultType
0.77876,0.35986,0.017840462,0.122746394,0.124006461,-0.118571178,-0.042219236,2.901945559,6.950854986,Ball_007_1
0.82883,0.46772,0.022254799,0.132487982,0.134312214,0.174698897,-0.081547572,3.482334091,6.03520239,Ball_007_1
0.90664,0.46855,0.020470296,0.149650512,0.151007859,0.040338954,-0.274068942,3.102818637,7.376926164,Ball_007_1
1.12778,0.58475,0.02095973,0.157067464,0.158421755,-0.023266129,0.134692326,3.691096594,7.558387272,Ball_007_1
1.02576,0.44685,0.022167344,0.138188796,0.139922158,-0.081533679,0.402783306,3.193561382,6.312084888,Ball_007_1
0.88161,0.43726,0.021119275,0.138763373,0.140327814,-0.131328677,-0.168557468,3.115989538,6.644537614,Ball_007_1
0.94482,0.45353,0.021464022,0.138461384,0.140081755,-0.11417468,0.308106789,3.237609363,6.526351538,Ball_007_1
0.89183,0.43955,0.020860203,0.150120011,0.151526109,-0.021955471,-0.272298054,2.900820213,7.263884613,Ball_007_1
0.8645,0.49233,0.020243985,0.145360927,0.146728664,0.074173522,-0.421814054,3.355377106,7.248012754,Ball_007_1
0.86241,0.37154,0.018104501,0.136392913,0.137556229,-0.136237478,-0.097888653,2.701004539,7.597902429,Ball_007_1
0.73537,0.38761,0.017719798,0.126351146,0.127557078,-0.054668558,-0.350091812,3.038718083,7.198562782,Ball_007_1
0.88369,0.47606,0.017676997,0.13643224,0.137539608,0.038106442,0.170824225,3.461257511,7.780710993,Ball_007_1
0.9394,0.48232,0.017110635,0.141844799,0.142838708,0.057154452,-0.027017465,3.376675734,8.34794901,Ball_007_1
0.79712,0.40346,0.018397123,0.127683666,0.128971362,-0.010813946,0.186027667,3.12829139,7.010409257,Ball_007_1
0.86033,0.47689,0.017996663,0.136439896,0.137588645,-0.004357193,-0.099890497,3.466056374,7.645231059,Ball_007_1
1.17659,0.6634,0.017048642,0.142452559,0.143434581,0.144587437,1.32970982,4.625105001,8.413255456,Ball_007_1
0.87702,0.41243,0.018280463,0.136558625,0.137743703,-0.022892672,0.027368457,2.994184052,7.535022644,Ball_007_1
0.82403,0.41827,0.018645672,0.134088601,0.135346351,0.016542692,-0.107185352,3.090367763,7.258861696,Ball_007_1
1.04955,0.4963,0.018337609,0.150014861,0.151095129,-0.046367094,0.100054102,3.284685642,8.239630659,Ball_007_1
0.88202,0.48315,0.017400675,0.151353908,0.152314161,0.145355785,0.086487486,3.172062254,8.753347603,Ball_007_1
0.80755,0.4431,0.017637812,0.136373161,0.137476,0.05554948,-0.222850785,3.223108043,7.794390792,Ball_007_1
0.85469,0.42265,0.019391378,0.143228163,0.144500226,-0.095251672,-0.06119703,2.924908914,7.451777203,Ball_007_1
